,instrument_token,tradingsymbol
294,11618,ASTRAMICRO
295,5610,ASTRAZEN
296,874,ASTRON
297,1663,ATFL
298,13585,ATLANTA
299,7921,ATLASCYCLE-BE
300,263,ATUL
301,30023,ATULAUTO
302,21238,AUBANK
303,18762,AURDIS-SM
304,12022,AURIONPRO
305,275,AUROPHARMA
306,4037,AUSOMENT
307,278,AUTOAXLES
308,14110,AUTOIND-BE
309,287,AUTOLITIND
310,21406,AVADHSUGAR
311,7936,AVANTIFEED
312,10428,AVENTUS-IT
313,2621,AVG-SM
314,4152,AVROIND-SM
315,18692,AVSL-SM
316,14008,AVTNPL
317,5900,AXISBANK
318,9436,AXISCADES
319,20532,AXISGOLD
320,21252,AXISNIFTY
321,10285,AYMSYNTEX
322,21756,BABAFOOD-SM
323,14075,BAGFILMS-BE
324,16669,BAJAJ-AUTO
325,19531,BAJAJCON
326,15034,BAJAJELEC
327,16675,BAJAJFINSV
328,308,BAJAJHIND
329,305,BAJAJHLDNG
330,317,BAJFINANCE
331,9158,BALAJITELE
332,14501,BALAMINES
333,11309,BALAXI
334,10185,BALKRISHNA-BE
335,335,BALKRISIND
336,15382,BALLARPUR-BE
337,338,BALMLAWRIE
338,13441,BALPHARMA
339,341,BALRAMCHIN
340,347,BANARBEADS
341,350,BANARISUG
342,13880,BANCOINDIA
343,2263,BANDHANBNK
344,15303,BANG
345,1526,BANKA-SM
346,4668,BANKBARODA
347,11439,BANKBEES
348,4745,BANKINDIA
349,14511,BANSWRAS
350,17921,BARTRONICS-BZ
351,368,BASF
352,12034,BASML
353,371,BATAINDIA
354,17927,BAYERCROP
355,13761,BBL
356,380,BBTC
357,5687,BBTCL-SM
358,8841,BCG-BE
359,1002,BCONCEPTS-SM
360,11662,BCP
361,2144,BDL
362,4294,BDR-IT
363,17937,BEARDSELL-BE
364,20196,BEDMUTHA
365,383,BEL
366,395,BEML
367,419,BEPL
368,404,BERGEPAINT
369,81,BETA-SM
370,21113,BFINVEST
371,14567,BFUTILITIE
372,15193,BGRENERGY-BE
373,13400,BHAGERIA
374,20776,BHAGYANGR
375,21332,BHAGYAPROP
376,9985,BHALCHANDR-IT
377,19556,BHANDARI
378,422,BHARATFORG
379,426,BHARATGEAR
380,3834,BHARATRAS
381,16123,BHARATWIRE
382,10604,BHARTIARTL
383,438,BHEL
384,18431,BIGBLOC
385,7848,BIL
386,21571,BILENERGY
387,471,BINDALAGRO
388,11373,BIOCON
389,7903,BIOFILCHEM-BE
390,477,BIRLACABLE
391,480,BIRLACORPN
392,15239,BIRLAMONEY
393,17586,BIRLATYRE
394,7459,BKMINDST-BE
395,8139,BLBLIMITED-BE
396,19265,BLISSGVS
397,13290,BLKASHYAP
398,17279,BLS
399,8552,BLUECOAST-BE
400,495,BLUEDART
401,8311,BLUESTARCO
402,25017,BODALCHEM
403,20340,BOHRA-SM
404,513,BOMDYEING
405,19403,BOROLTD-BE
406,3149,BORORENEW
407,2181,BOSCHLTD
408,526,BPCL
409,5163,BPL-BE
410,13069,BRFL-BE
411,15184,BRIGADE
412,3901,BRIGHT-SM
413,547,BRITANNIA
414,13508,BRITANNIA-N2
415,21683,BRNL
416,25140,BROOKS-BE
417,19585,BSE
418,9651,BSELINFRA-BE
419,2787,BSHSL-SM
420,559,BSL
421,23804,BSLGOLDETF
422,24781,BSLNIFTY
423,6994,BSOFT
424,15198,BURNPUR-BE
425,2716,BUTTERFLY
426,15077,BVCL-BE
427,7919,BYKE
428,7929,CADILAHC
429,21823,CADSYS-SM
430,8341,CALSOFT
431,6216,CAMLINFINE
432,10794,CANBK
433,8874,CANDC-BZ
434,583,CANFINHOME
435,20160,CANTABIL
436,21749,CAPACITE
437,3906,CAPLIPOINT
438,19447,CAPTRUST
439,595,CARBORUNIV
440,20086,CAREERP
441,29113,CARERATING
442,1250,CASTROLIND
443,14996,CCCL-BE
444,6403,CCHHL-BE
445,11452,CCL
446,21174,CDSL
447,15254,CEATLTD
448,20224,CEBBCO
449,13162,CELEBRITY
450,619,CENTENKA
451,11511,CENTEXT
452,14894,CENTRALBK
453,2454,CENTRUM
454,14982,CENTUM
455,13305,CENTURYPLY
456,625,CENTURYTEX
457,15039,CERA
458,30012,CEREBRAINT
459,628,CESC
460,8119,CESCVENT
461,20329,CGCL
462,760,CGPOWER
463,8546,CHALET
464,637,CHAMBLFERT
465,14618,CHEMBOND
466,2799,CHEMFAB
467,2049,CHENNPETRO
468,685,CHOLAFIN
469,21740,CHOLAHLDNG
470,27105,CHROMATIC-BE
471,5142,CIGNITITEC
472,25184,CIMMCO
473,27161,CINELINE
474,8024,CINEVISTA
475,694,CIPLA
476,18452,CKFSL-BZ
477,1587,CKPLEISURE-SM
478,20705,CKPPRODUCT-SM
479,20223,CLEDUCATE
480,715,CLNINDIA
481,19133,CMICABLES
482,96,CMMIPL-SM
483,31847,CNOVAPETRO-BE
484,20374,COALINDIA
485,21508,COCHINSHIP
486,15141,COLPAL
487,17632,COMPINFO
488,31142,COMPUSOFT-BE
489,4749,CONCOR
490,10238,CONFIPET
491,11731,CONSOFINVT
492,2531,CONTI-SM
493,17477,CONTROLPR
494,4007,CORALFINAC
495,15271,CORDSCABLE
496,739,COROMANDEL
497,742,COSMOFILMS
498,16986,COUNCODOS
499,15874,COX&KINGS-BZ
500,2328,CPSEETF
501,11155,CREATIVE
502,9388,CREATIVEYE-BE
503,4421,CREDITACC
504,13900,CREST
505,757,CRISIL
506,17094,CROMPTON
507,18596,CROWN-SM
508,14966,CSBBANK
509,14218,CTE
510,5701,CUB
511,4064,CUBEXTUB
512,1901,CUMMINSIND
513,18520,CUPID
514,6051,CYBERTECH
515,5748,CYIENT
516,13816,DAAWAT
517,772,DABUR
518,8075,DALBHARAT
519,781,DALMIASUG
520,17541,DAMODARIND
521,4559,DANGEE-SM
522,11423,DATAMATICS
523,17881,DBCORP
524,18086,DBL
525,18124,DBREALTY
526,31107,DBSTOCKBRO
527,21704,DCAL
528,13725,DCBBANK
529,16012,DCI-SM
530,805,DCM
531,8704,DCMFINSERV-BE
532,11039,DCMNVL
533,811,DCMSHRIRAM
534,817,DCW
535,14838,DECCANCE
536,827,DEEPAKFERT
537,19943,DEEPAKNTR
538,18244,DEEPIND
539,15044,DELTACORP
540,1214,DELTAMAGNT
541,17722,DEN
542,4279,DENORA
543,20494,DEVIT-SM
544,19271,DFMFOODS
545,10358,DGCONTENT-BE
546,857,DHAMPURSUG
547,11359,DHANBANK
548,24409,DHANUKA
549,842,DHFL
550,18276,DHFL-N3
551,18286,DHFL-N4
552,18288,DHFL-N5
553,18290,DHFL-N6
554,18298,DHFL-N9
555,18300,DHFL-NA
556,18302,DHFL-NB
557,18304,DHFL-NC
558,18310,DHFL-NF
559,18312,DHFL-NG
560,18314,DHFL-NH
561,18489,DHFL-NM
562,18491,DHFL-NN
563,18493,DHFL-NO
564,18495,DHFL-NP
565,3343,DHFL-NQ
566,3347,DHFL-NR
567,3353,DHFL-NS
568,3359,DHFL-NT
569,3365,DHFL-NU
570,3367,DHFL-NV
