Time = 11:50:00, O = 1475.5, H = 1475.7, L = 1472.7, C = 1473.1, Volume = 85447, ema_5=1474.004, ema_8=1474.594, ema_13=1475.925
Time = 11:55:00, O = 1473.4, H = 1474.0, L = 1473.25, C = 1473.95, Volume = 29833, ema_5=1473.986, ema_8=1474.451, ema_13=1475.643
Time = 12:00:00, O = 1473.95, H = 1474.0, L = 1473.0, C = 1473.25, Volume = 34446, ema_5=1473.741, ema_8=1474.184, ema_13=1475.301
Time = 12:05:00, O = 1473.2, H = 1473.5, L = 1472.55, C = 1473.0, Volume = 34532, ema_5=1473.494, ema_8=1473.921, ema_13=1474.972
Time = 12:10:00, O = 1472.95, H = 1474.5, L = 1472.8, C = 1474.2, Volume = 61593, ema_5=1473.729, ema_8=1473.983, ema_13=1474.862
Time = 12:15:00, O = 1474.15, H = 1474.5, L = 1473.45, C = 1474.0, Volume = 64127, ema_5=1473.819, ema_8=1473.987, ema_13=1474.739
Time = 12:20:00, O = 1473.95, H = 1474.2, L = 1471.5, C = 1472.3, Volume = 50556, ema_5=1473.313, ema_8=1473.612, ema_13=1474.39
Time = 12:25:00, O = 1472.3, H = 1472.3, L = 1467.75, C = 1469.5, Volume = 188929, ema_5=1472.042, ema_8=1472.698, ema_13=1473.692
Time = 12:30:00, O = 1469.45, H = 1471.0, L = 1468.25, C = 1469.95, Volume = 109322, ema_5=1471.345, ema_8=1472.087, ema_13=1473.157
Time = 12:35:00, O = 1469.9, H = 1470.0, L = 1467.45, C = 1467.9, Volume = 84813, ema_5=1470.196, ema_8=1471.157, ema_13=1472.406
Time = 12:40:00, O = 1467.9, H = 1474.4, L = 1467.35, C = 1473.6, Volume = 116924, ema_5=1471.331, ema_8=1471.7, ema_13=1472.577
Time = 12:45:00, O = 1473.6, H = 1473.75, L = 1471.55, C = 1472.25, Volume = 52527, ema_5=1471.637, ema_8=1471.822, ema_13=1472.53
Time = 12:50:00, O = 1472.35, H = 1472.7, L = 1469.3, C = 1469.55, Volume = 43441, ema_5=1470.942, ema_8=1471.317, ema_13=1472.104
Time = 12:55:00, O = 1469.7, H = 1471.25, L = 1469.5, C = 1470.3, Volume = 43725, ema_5=1470.728, ema_8=1471.091, ema_13=1471.847
Time = 13:00:00, O = 1470.35, H = 1471.0, L = 1470.0, C = 1470.95, Volume = 46412, ema_5=1470.802, ema_8=1471.06, ema_13=1471.718
Time = 13:05:00, O = 1470.95, H = 1471.4, L = 1470.0, C = 1470.3, Volume = 39173, ema_5=1470.635, ema_8=1470.891, ema_13=1471.516
